Description;ISIN;Identification number;Quantity / amount;Price;Market to cost;Weight;Investment strategy;Portfolio manager;Relationship manager;Evaluation date;Portfolio number;Total value in evaluation currency;Trade currency;Risk currency;Duration;YTM;Duration x Total value in evaluation currency;YTM x Total value in evaluation currency;Position rank;Country;Asset class;Price date;Bank
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;1.046735537;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2023;10000.05;2093471.073;USD;USD;3.677259447;0.01061194;7698236.281;22215.789;;USA;Bonds;30.04.2023;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;1.042684589;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2023;10000.05;2085369.178;USD;USD;3.677259447;0.01061194;7668443.51;22129.81217;;USA;Bonds;31.05.2023;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;1.022737412;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2023;10000.05;2045474.824;USD;USD;3.677259447;0.01061194;7521741.62;21706.45569;;USA;Bonds;30.06.2023;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;1.025479847;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2023;10000.05;2050959.695;USD;USD;3.677259447;0.01061194;7541910.913;21764.66081;;USA;Bonds;31.07.2023;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;1.024751558;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2023;10000.05;2049503.117;USD;USD;3.677259447;0.01061194;7536554.697;21749.20369;;USA;Bonds;31.08.2023;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;1.032006065;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2023;10000.05;2064012.129;USD;USD;3.677259447;0.01061194;7589908.102;21903.17246;;USA;Bonds;30.09.2023;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;1.029245448;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2023;10000.05;2058490.896;USD;USD;3.677259447;0.01061194;7569605.096;21844.58147;;USA;Bonds;31.10.2023;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;1.028272639;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2023;10000.05;2056545.279;USD;USD;3.677259447;0.01061194;7562450.555;21823.93469;;USA;Bonds;30.11.2023;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;1.014067035;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2023;10000.05;2028134.069;USD;USD;3.677259447;0.01061194;7457975.166;21522.43664;;USA;Bonds;31.12.2023;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;1.00990956;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2024;10000.05;2019819.12;USD;USD;3.677259447;0.01061194;7427398.94;21434.1989;;USA;Bonds;31.01.2024;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;1.00824794;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;29.02.2024;10000.05;2016495.879;USD;USD;3.677259447;0.01061194;7415178.523;21398.93288;;USA;Bonds;29.02.2024;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;1.011014608;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2024;10000.05;2022029.217;USD;USD;3.677259447;0.01061194;7435526.04;21457.65232;;USA;Bonds;31.03.2024;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;1.011898396;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2024;10000.05;2023796.792;USD;USD;3.677259447;0.01061194;7442025.874;21476.40972;;USA;Bonds;30.04.2024;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;1.019125871;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2024;10000.05;2038251.742;USD;USD;3.677259447;0.01061194;7495180.473;21629.80478;;USA;Bonds;31.05.2024;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;0.992607808;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2024;10000.05;1985215.616;USD;USD;3.677259447;0.01061194;7300152.879;21066.9886;;USA;Bonds;30.06.2024;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;0.994903729;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2024;10000.05;1989807.459;USD;USD;3.677259447;0.01061194;7317038.276;21115.71696;;USA;Bonds;31.07.2024;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;0.993383859;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2024;10000.05;1986767.718;USD;USD;3.677259447;0.01061194;7305860.362;21083.45942;;USA;Bonds;31.08.2024;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;0.992809525;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2024;10000.05;1985619.051;USD;USD;3.677259447;0.01061194;7301636.412;21071.26983;;USA;Bonds;30.09.2024;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;0.9903383;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2024;10000.05;1980676.6;USD;USD;3.677259447;0.01061194;7283461.739;21018.82084;;USA;Bonds;31.10.2024;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;0.990175063;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2024;10000.05;1980350.127;USD;USD;3.677259447;0.01061194;7282261.213;21015.35632;;USA;Bonds;30.11.2024;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;0.96983564;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2024;10000.05;1939671.28;USD;USD;3.677259447;0.01061194;7132674.538;20583.67485;;USA;Bonds;31.12.2024;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;0.970360607;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2025;10000.05;1940721.213;USD;USD;3.677259447;0.01061194;7136535.415;20594.81668;;USA;Bonds;31.01.2025;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;0.970114701;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;28.02.2025;10000.05;1940229.402;USD;USD;3.677259447;0.01061194;7134726.897;20589.5976;;USA;Bonds;28.02.2025;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;0.97018596;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2025;10000.05;1940371.92;USD;USD;3.677259447;0.01061194;7135250.973;20591.11;;USA;Bonds;31.03.2025;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;0.972472852;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2025;10000.05;1944945.703;USD;USD;3.677259447;0.01061194;7152069.962;20639.64671;;USA;Bonds;30.04.2025;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;0.976198233;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2025;10000.05;1952396.465;USD;USD;3.677259447;0.01061194;7179468.346;20718.71375;;USA;Bonds;31.05.2025;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;0.958266941;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2025;10000.05;1916533.881;USD;USD;3.677259447;0.01061194;7047592.321;20338.14217;;USA;Bonds;30.06.2025;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;0.960691827;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2025;10000.05;1921383.655;USD;USD;3.677259447;0.01061194;7065426.197;20389.60767;;USA;Bonds;31.07.2025;LGT, Geneva
3.80% Starbucks 18-15.08.2025;US855244AQ29;43.167960.000.0;0;0.96365767;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2025;10000.05;1927315.339;USD;USD;3.677259447;0.01061194;7087238.539;20452.55435;;USA;Bonds;31.08.2025;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2021;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.09.2021;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2021;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.10.2021;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2021;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.11.2021;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2021;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.12.2021;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.01.2022;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;28.02.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;28.02.2022;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.03.2022;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.04.2022;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.05.2022;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.06.2022;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.07.2022;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.08.2022;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.09.2022;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.10.2022;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.11.2022;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.12.2022;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.01.2023;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;28.02.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;28.02.2023;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.03.2023;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.04.2023;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.05.2023;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.06.2023;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.07.2023;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.08.2023;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.09.2023;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.10.2023;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.11.2023;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.12.2023;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.01.2024;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;29.02.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;29.02.2024;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.03.2024;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.04.2024;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.05.2024;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.06.2024;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.07.2024;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.08.2024;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.09.2024;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.10.2024;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.11.2024;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2024;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.12.2024;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.01.2025;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;28.02.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;28.02.2025;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.03.2025;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.04.2025;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.05.2025;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.06.2025;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.07.2025;LGT, Geneva
3.60% Metropolitan Life 19-11.01.2024;US59217HBX44;45.812661.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2025;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.08.2025;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2021;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.09.2021;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2021;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.10.2021;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2021;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.11.2021;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2021;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.12.2021;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.01.2022;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;28.02.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;28.02.2022;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.03.2022;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.04.2022;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.05.2022;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.06.2022;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.07.2022;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.08.2022;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.09.2022;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.10.2022;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.11.2022;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.12.2022;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.12.2022;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.01.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.01.2023;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;28.02.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;28.02.2023;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.03.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.03.2023;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.04.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.04.2023;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.05.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.05.2023;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.06.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.06.2023;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.07.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.07.2023;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.08.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.08.2023;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.09.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.09.2023;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;31.10.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;31.10.2023;LGT, Geneva
4 % Tyson Foods 19-01.03.2026;US902494BJ16;46.469594.000.0;0;0;;;Very Low Risk;Bruno Iksil;Emmanuel Fragniere;30.11.2023;10000.05;0;USD;USD;0;0;0;0;;USA;Bonds;30.11.2023;LGT, Geneva
