Ticket date;Transaction;Transaction number;Amount;Position;Identification number;Accounting;Price;Value in evaluation currency;Portfolio number;Booking date;Value date;Purchase date;Portfolio instrument number;Position instrument number;Evaluation date;Transaction value in evaluation currency;Transaction interest in evaluation currency;Transaction fees in evaluation currency;Transaction duties and taxes in evaluation currency;Fee basis in evaluation currency;Transaction holding position;Transaction holding amount;Transaction counterparty position;Transaction counterparty currency;Transaction counterparty amount;Transaction holding identification number;Transaction counterparty identification number;Value;Currency;Transaction holding currency
31.12.2021;Transaction fees;10000.37-20211231-TF2-18.329887.000.0;-5.63;Current Account USD;;Counterparty holding;1;-5.63;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-5.63;0;5.63;0;-5.63;Common expenses account;5.63;Current Account USD;USD;-5.63;EXP-;;-5.63;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-20.006461.000.0;-7.99;Current Account USD;;Counterparty holding;1;-7.99;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-7.99;0;7.99;0;-7.99;Common expenses account;7.99;Current Account USD;USD;-7.99;EXP-;;-7.99;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-21.256942.000.0;-8.17;Current Account USD;;Counterparty holding;1;-8.17;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-8.17;0;8.17;0;-8.17;Common expenses account;8.17;Current Account USD;USD;-8.17;EXP-;;-8.17;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-23.298966.000.0;-8.81;Current Account USD;;Counterparty holding;1;-8.81;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-8.81;0;8.81;0;-8.81;Common expenses account;8.81;Current Account USD;USD;-8.81;EXP-;;-8.81;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-24.766213.000.0;-4.62;Current Account USD;;Counterparty holding;1;-4.62;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-4.62;0;4.62;0;-4.62;Common expenses account;4.62;Current Account USD;USD;-4.62;EXP-;;-4.62;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-25.907918.000.0;-9.25;Current Account USD;;Counterparty holding;1;-9.25;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-9.25;0;9.25;0;-9.25;Common expenses account;9.25;Current Account USD;USD;-9.25;EXP-;;-9.25;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-26.056843.000.0;-5.62;Current Account USD;;Counterparty holding;1;-5.62;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-5.62;0;5.62;0;-5.62;Common expenses account;5.62;Current Account USD;USD;-5.62;EXP-;;-5.62;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-26.700955.000.0;-9.51;Current Account USD;;Counterparty holding;1;-9.51;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-9.51;0;9.51;0;-9.51;Common expenses account;9.51;Current Account USD;USD;-9.51;EXP-;;-9.51;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-26.807339.000.0;-2.64;Current Account USD;;Counterparty holding;1;-2.64;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-2.64;0;2.64;0;-2.64;Common expenses account;2.64;Current Account USD;USD;-2.64;EXP-;;-2.64;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-28.697788.000.0;-10.69;Current Account USD;;Counterparty holding;1;-10.69;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-10.69;0;10.69;0;-10.69;Common expenses account;10.69;Current Account USD;USD;-10.69;EXP-;;-10.69;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-28.954494.000.0;-4;Current Account USD;;Counterparty holding;1;-4;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-4;0;4;0;-4;Common expenses account;4;Current Account USD;USD;-4;EXP-;;-4;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-29.031932.000.0;-2.74;Current Account USD;;Counterparty holding;1;-2.74;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-2.74;0;2.74;0;-2.74;Common expenses account;2.74;Current Account USD;USD;-2.74;EXP-;;-2.74;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-30.453100.000.0;-8.18;Current Account USD;;Counterparty holding;1;-8.18;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-8.18;0;8.18;0;-8.18;Common expenses account;8.18;Current Account USD;USD;-8.18;EXP-;;-8.18;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-31.446301.000.0;-10.89;Current Account USD;;Counterparty holding;1;-10.89;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-10.89;0;10.89;0;-10.89;Common expenses account;10.89;Current Account USD;USD;-10.89;EXP-;;-10.89;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-32.212993.000.0;-2.37;Current Account USD;;Counterparty holding;1;-2.37;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-2.37;0;2.37;0;-2.37;Common expenses account;2.37;Current Account USD;USD;-2.37;EXP-;;-2.37;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-33.120765.000.0;-4.55;Current Account USD;;Counterparty holding;1;-4.55;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-4.55;0;4.55;0;-4.55;Common expenses account;4.55;Current Account USD;USD;-4.55;EXP-;;-4.55;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-33.923459.000.0;-2.24;Current Account USD;;Counterparty holding;1;-2.24;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-2.24;0;2.24;0;-2.24;Common expenses account;2.24;Current Account USD;USD;-2.24;EXP-;;-2.24;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-34.005845.000.0;-1.67;Current Account USD;;Counterparty holding;1;-1.67;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-1.67;0;1.67;0;-1.67;Common expenses account;1.67;Current Account USD;USD;-1.67;EXP-;;-1.67;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-36.372238.000.0;-4.04;Current Account USD;;Counterparty holding;1;-4.04;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-4.04;0;4.04;0;-4.04;Common expenses account;4.04;Current Account USD;USD;-4.04;EXP-;;-4.04;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-36.943635.000.0;-5.3;Current Account USD;;Counterparty holding;1;-5.3;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-5.3;0;5.3;0;-5.3;Common expenses account;5.3;Current Account USD;USD;-5.3;EXP-;;-5.3;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-37.047622.000.0;-9.2;Current Account USD;;Counterparty holding;1;-9.2;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-9.2;0;9.2;0;-9.2;Common expenses account;9.2;Current Account USD;USD;-9.2;EXP-;;-9.2;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-38.367688.000.0;-8.29;Current Account USD;;Counterparty holding;1;-8.29;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-8.29;0;8.29;0;-8.29;Common expenses account;8.29;Current Account USD;USD;-8.29;EXP-;;-8.29;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-38.488193.000.0;-4.68;Current Account USD;;Counterparty holding;1;-4.68;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-4.68;0;4.68;0;-4.68;Common expenses account;4.68;Current Account USD;USD;-4.68;EXP-;;-4.68;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-38.550834.000.0;-4.72;Current Account USD;;Counterparty holding;1;-4.72;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-4.72;0;4.72;0;-4.72;Common expenses account;4.72;Current Account USD;USD;-4.72;EXP-;;-4.72;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-38.599545.000.0;-2.76;Current Account USD;;Counterparty holding;1;-2.76;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-2.76;0;2.76;0;-2.76;Common expenses account;2.76;Current Account USD;USD;-2.76;EXP-;;-2.76;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-39.103781.000.0;-4.54;Current Account USD;;Counterparty holding;1;-4.54;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-4.54;0;4.54;0;-4.54;Common expenses account;4.54;Current Account USD;USD;-4.54;EXP-;;-4.54;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-39.437251.000.0;-9.14;Current Account USD;;Counterparty holding;1;-9.14;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-9.14;0;9.14;0;-9.14;Common expenses account;9.14;Current Account USD;USD;-9.14;EXP-;;-9.14;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-39.463178.000.0;-4.73;Current Account USD;;Counterparty holding;1;-4.73;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-4.73;0;4.73;0;-4.73;Common expenses account;4.73;Current Account USD;USD;-4.73;EXP-;;-4.73;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-39.878431.000.0;-7.54;Current Account USD;;Counterparty holding;1;-7.54;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-7.54;0;7.54;0;-7.54;Common expenses account;7.54;Current Account USD;USD;-7.54;EXP-;;-7.54;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-40.477415.000.0;-6.59;Current Account USD;;Counterparty holding;1;-6.59;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-6.59;0;6.59;0;-6.59;Common expenses account;6.59;Current Account USD;USD;-6.59;EXP-;;-6.59;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-41.384309.000.0;-9.66;Current Account USD;;Counterparty holding;1;-9.66;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-9.66;0;9.66;0;-9.66;Common expenses account;9.66;Current Account USD;USD;-9.66;EXP-;;-9.66;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-41.758541.000.0;-8.87;Current Account USD;;Counterparty holding;1;-8.87;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-8.87;0;8.87;0;-8.87;Common expenses account;8.87;Current Account USD;USD;-8.87;EXP-;;-8.87;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-42.177803.000.0;-4.81;Current Account USD;;Counterparty holding;1;-4.81;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-4.81;0;4.81;0;-4.81;Common expenses account;4.81;Current Account USD;USD;-4.81;EXP-;;-4.81;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-44.636390.000.0;-8.02;Current Account USD;;Counterparty holding;1;-8.02;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-8.02;0;8.02;0;-8.02;Common expenses account;8.02;Current Account USD;USD;-8.02;EXP-;;-8.02;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-46.360158.000.0;-6.1;Current Account USD;;Counterparty holding;1;-6.1;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-6.1;0;6.1;0;-6.1;Common expenses account;6.1;Current Account USD;USD;-6.1;EXP-;;-6.1;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-47.191060.000.0;-2.26;Current Account USD;;Counterparty holding;1;-2.26;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-2.26;0;2.26;0;-2.26;Common expenses account;2.26;Current Account USD;USD;-2.26;EXP-;;-2.26;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-49.149176.000.0;-5.75;Current Account USD;;Counterparty holding;1;-5.75;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-5.75;0;5.75;0;-5.75;Common expenses account;5.75;Current Account USD;USD;-5.75;EXP-;;-5.75;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-49.263329.000.0;-7.51;Current Account USD;;Counterparty holding;1;-7.51;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-7.51;0;7.51;0;-7.51;Common expenses account;7.51;Current Account USD;USD;-7.51;EXP-;;-7.51;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-52.470521.000.0;-5.07;Current Account USD;;Counterparty holding;1;-5.07;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-5.07;0;5.07;0;-5.07;Common expenses account;5.07;Current Account USD;USD;-5.07;EXP-;;-5.07;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-54.164741.000.0;-10.4;Current Account USD;;Counterparty holding;1;-10.4;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-10.4;0;10.4;0;-10.4;Common expenses account;10.4;Current Account USD;USD;-10.4;EXP-;;-10.4;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-54.254781.000.0;-5.06;Current Account USD;;Counterparty holding;1;-5.06;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-5.06;0;5.06;0;-5.06;Common expenses account;5.06;Current Account USD;USD;-5.06;EXP-;;-5.06;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-54.403356.000.0;-5.65;Current Account USD;;Counterparty holding;1;-5.65;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-5.65;0;5.65;0;-5.65;Common expenses account;5.65;Current Account USD;USD;-5.65;EXP-;;-5.65;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-54.747326.000.0;-5.3;Current Account USD;;Counterparty holding;1;-5.3;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-5.3;0;5.3;0;-5.3;Common expenses account;5.3;Current Account USD;USD;-5.3;EXP-;;-5.3;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-54.777005.000.0;-6.78;Current Account USD;;Counterparty holding;1;-6.78;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-6.78;0;6.78;0;-6.78;Common expenses account;6.78;Current Account USD;USD;-6.78;EXP-;;-6.78;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-54.926961.000.0;-9.46;Current Account USD;;Counterparty holding;1;-9.46;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-9.46;0;9.46;0;-9.46;Common expenses account;9.46;Current Account USD;USD;-9.46;EXP-;;-9.46;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-55.178013.000.0;-3.22;Current Account USD;;Counterparty holding;1;-3.22;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-3.22;0;3.22;0;-3.22;Common expenses account;3.22;Current Account USD;USD;-3.22;EXP-;;-3.22;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-55.268134.000.0;-4.2;Current Account USD;;Counterparty holding;1;-4.2;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-4.2;0;4.2;0;-4.2;Common expenses account;4.2;Current Account USD;USD;-4.2;EXP-;;-4.2;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-55.349841.000.0;-3.07;Current Account USD;;Counterparty holding;1;-3.07;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-3.07;0;3.07;0;-3.07;Common expenses account;3.07;Current Account USD;USD;-3.07;EXP-;;-3.07;USD;USD
31.12.2021;Transaction fees;10000.37-20211231-TF2-56.377955.000.0;-5.18;Current Account USD;;Counterparty holding;1;-5.18;10000.37;31.12.2021;31.12.2021;;-10000.37;CA-USD-;31.12.2021;-5.18;0;5.18;0;-5.18;Common expenses account;5.18;Current Account USD;USD;-5.18;EXP-;;-5.18;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-  .957543.000.0;19.68;Common expenses account;;Duties and taxes;1;19.68;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-19.68;0;0;19.68;-19.68;Common expenses account;19.68;Current Account USD;USD;-19.68;TAX-;;19.68;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-11.282155.000.0;5.99;Common expenses account;;Duties and taxes;1;5.99;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-5.99;0;0;5.99;-5.99;Common expenses account;5.99;Current Account USD;USD;-5.99;TAX-;;5.99;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-12.094060.000.0;7.63;Common expenses account;;Duties and taxes;1;7.63;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-7.63;0;0;7.63;-7.63;Common expenses account;7.63;Current Account USD;USD;-7.63;TAX-;;7.63;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-13.984919.000.0;123.77;Common expenses account;;Duties and taxes;1;123.77;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-123.77;0;0;123.77;-123.77;Common expenses account;123.77;Current Account USD;USD;-123.77;TAX-;;123.77;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-14.911548.000.0;13.37;Common expenses account;;Duties and taxes;1;13.37;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-13.37;0;0;13.37;-13.37;Common expenses account;13.37;Current Account USD;USD;-13.37;TAX-;;13.37;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-18.329887.000.0;9.39;Common expenses account;;Duties and taxes;1;9.39;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-9.39;0;0;9.39;-9.39;Common expenses account;9.39;Current Account USD;USD;-9.39;TAX-;;9.39;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-20.006461.000.0;13.32;Common expenses account;;Duties and taxes;1;13.32;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-13.32;0;0;13.32;-13.32;Common expenses account;13.32;Current Account USD;USD;-13.32;TAX-;;13.32;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-21.256942.000.0;13.61;Common expenses account;;Duties and taxes;1;13.61;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-13.61;0;0;13.61;-13.61;Common expenses account;13.61;Current Account USD;USD;-13.61;TAX-;;13.61;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-23.298966.000.0;14.69;Common expenses account;;Duties and taxes;1;14.69;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-14.69;0;0;14.69;-14.69;Common expenses account;14.69;Current Account USD;USD;-14.69;TAX-;;14.69;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-24.766213.000.0;7.7;Common expenses account;;Duties and taxes;1;7.7;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-7.7;0;0;7.7;-7.7;Common expenses account;7.7;Current Account USD;USD;-7.7;TAX-;;7.7;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-25.907918.000.0;15.42;Common expenses account;;Duties and taxes;1;15.42;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-15.42;0;0;15.42;-15.42;Common expenses account;15.42;Current Account USD;USD;-15.42;TAX-;;15.42;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-26.056843.000.0;9.36;Common expenses account;;Duties and taxes;1;9.36;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-9.36;0;0;9.36;-9.36;Common expenses account;9.36;Current Account USD;USD;-9.36;TAX-;;9.36;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-26.700955.000.0;15.85;Common expenses account;;Duties and taxes;1;15.85;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-15.85;0;0;15.85;-15.85;Common expenses account;15.85;Current Account USD;USD;-15.85;TAX-;;15.85;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-26.807339.000.0;4.4;Common expenses account;;Duties and taxes;1;4.4;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-4.4;0;0;4.4;-4.4;Common expenses account;4.4;Current Account USD;USD;-4.4;TAX-;;4.4;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-28.697788.000.0;17.82;Common expenses account;;Duties and taxes;1;17.82;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-17.82;0;0;17.82;-17.82;Common expenses account;17.82;Current Account USD;USD;-17.82;TAX-;;17.82;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-28.954494.000.0;6.67;Common expenses account;;Duties and taxes;1;6.67;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-6.67;0;0;6.67;-6.67;Common expenses account;6.67;Current Account USD;USD;-6.67;TAX-;;6.67;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-29.031932.000.0;4.57;Common expenses account;;Duties and taxes;1;4.57;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-4.57;0;0;4.57;-4.57;Common expenses account;4.57;Current Account USD;USD;-4.57;TAX-;;4.57;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-30.453100.000.0;13.63;Common expenses account;;Duties and taxes;1;13.63;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-13.63;0;0;13.63;-13.63;Common expenses account;13.63;Current Account USD;USD;-13.63;TAX-;;13.63;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-31.446301.000.0;18.16;Common expenses account;;Duties and taxes;1;18.16;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-18.16;0;0;18.16;-18.16;Common expenses account;18.16;Current Account USD;USD;-18.16;TAX-;;18.16;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-32.212993.000.0;3.95;Common expenses account;;Duties and taxes;1;3.95;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-3.95;0;0;3.95;-3.95;Common expenses account;3.95;Current Account USD;USD;-3.95;TAX-;;3.95;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-33.120765.000.0;7.58;Common expenses account;;Duties and taxes;1;7.58;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-7.58;0;0;7.58;-7.58;Common expenses account;7.58;Current Account USD;USD;-7.58;TAX-;;7.58;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-33.923459.000.0;3.73;Common expenses account;;Duties and taxes;1;3.73;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-3.73;0;0;3.73;-3.73;Common expenses account;3.73;Current Account USD;USD;-3.73;TAX-;;3.73;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-34.005845.000.0;2.78;Common expenses account;;Duties and taxes;1;2.78;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-2.78;0;0;2.78;-2.78;Common expenses account;2.78;Current Account USD;USD;-2.78;TAX-;;2.78;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-36.372238.000.0;6.74;Common expenses account;;Duties and taxes;1;6.74;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-6.74;0;0;6.74;-6.74;Common expenses account;6.74;Current Account USD;USD;-6.74;TAX-;;6.74;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-36.943635.000.0;8.83;Common expenses account;;Duties and taxes;1;8.83;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-8.83;0;0;8.83;-8.83;Common expenses account;8.83;Current Account USD;USD;-8.83;TAX-;;8.83;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-37.047622.000.0;15.33;Common expenses account;;Duties and taxes;1;15.33;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-15.33;0;0;15.33;-15.33;Common expenses account;15.33;Current Account USD;USD;-15.33;TAX-;;15.33;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-38.367688.000.0;13.81;Common expenses account;;Duties and taxes;1;13.81;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-13.81;0;0;13.81;-13.81;Common expenses account;13.81;Current Account USD;USD;-13.81;TAX-;;13.81;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-38.488193.000.0;7.79;Common expenses account;;Duties and taxes;1;7.79;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-7.79;0;0;7.79;-7.79;Common expenses account;7.79;Current Account USD;USD;-7.79;TAX-;;7.79;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-38.550834.000.0;7.87;Common expenses account;;Duties and taxes;1;7.87;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-7.87;0;0;7.87;-7.87;Common expenses account;7.87;Current Account USD;USD;-7.87;TAX-;;7.87;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-38.599545.000.0;4.61;Common expenses account;;Duties and taxes;1;4.61;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-4.61;0;0;4.61;-4.61;Common expenses account;4.61;Current Account USD;USD;-4.61;TAX-;;4.61;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-39.103781.000.0;7.57;Common expenses account;;Duties and taxes;1;7.57;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-7.57;0;0;7.57;-7.57;Common expenses account;7.57;Current Account USD;USD;-7.57;TAX-;;7.57;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-39.437251.000.0;15.24;Common expenses account;;Duties and taxes;1;15.24;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-15.24;0;0;15.24;-15.24;Common expenses account;15.24;Current Account USD;USD;-15.24;TAX-;;15.24;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-39.463178.000.0;7.88;Common expenses account;;Duties and taxes;1;7.88;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-7.88;0;0;7.88;-7.88;Common expenses account;7.88;Current Account USD;USD;-7.88;TAX-;;7.88;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-39.878431.000.0;12.57;Common expenses account;;Duties and taxes;1;12.57;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-12.57;0;0;12.57;-12.57;Common expenses account;12.57;Current Account USD;USD;-12.57;TAX-;;12.57;USD;USD
31.12.2021;Duties and taxes;10000.37-20211231-TX1-40.477415.000.0;10.98;Common expenses account;;Duties and taxes;1;10.98;10000.37;31.12.2021;31.12.2021;;-10000.37;TAX-;31.12.2021;-10.98;0;0;10.98;-10.98;Common expenses account;10.98;Current Account USD;USD;-10.98;TAX-;;10.98;USD;USD
